Accession	Species	Class
McCD00331089	Methylococcus capsulatus str. Bath	1
McCD00331090	Methylococcus capsulatus str. Bath	1
McCD00331091	Methylococcus capsulatus str. Bath	1
McCD00331092	Methylococcus capsulatus str. Bath	1
McCD00331093	Methylococcus capsulatus str. Bath	1
McCD00331094	Methylococcus capsulatus str. Bath	1
HsCD00331095	Halobacterium sp. NRC-1	1
HsCD00331096	Halobacterium sp. NRC-1	0
HsCD00331097	Halobacterium sp. NRC-1	0
HsCD00331098	Halobacterium sp. NRC-1	0
HsCD00331099	Halobacterium sp. NRC-1	1
HsCD00331100	Halobacterium sp. NRC-1	0
HsCD00331101	Halobacterium sp. NRC-1	1
HsCD00331102	Halobacterium sp. NRC-1	1
HsCD00331103	Halobacterium sp. NRC-1	0
HsCD00331104	Halobacterium sp. NRC-1	1
HsCD00331105	Halobacterium sp. NRC-1	1
HsCD00331106	Halobacterium sp. NRC-1	0
HsCD00331107	Halobacterium sp. NRC-1	1
HsCD00331108	Halobacterium sp. NRC-1	0
VpCD00331109	Vibrio parahaemolyticus	1
VpCD00331110	Vibrio parahaemolyticus	1
VpCD00331111	Vibrio parahaemolyticus	1
VfCD00331112	Aliivibrio fischeri	1
VfCD00331113	Aliivibrio fischeri	1
VfCD00331114	Aliivibrio fischeri	1
VfCD00331115	Aliivibrio fischeri	1
VfCD00331116	Aliivibrio fischeri	1
VfCD00331117	Aliivibrio fischeri	1
VfCD00331118	Aliivibrio fischeri	1
HsCD00331119	Halobacterium sp. NRC-1	0
HsCD00331120	Halobacterium sp. NRC-1	1
HsCD00331121	Halobacterium sp. NRC-1	1
HmCD00331122	Haloarcula marismortui	1
HmCD00331123	Haloarcula marismortui	1
HmCD00331124	Haloarcula marismortui	1
HmCD00331125	Haloarcula marismortui	1
HmCD00331126	Haloarcula marismortui	0
HmCD00331127	Haloarcula marismortui	0
HmCD00331128	Haloarcula marismortui	1
HmCD00331129	Haloarcula marismortui	1
HmCD00331130	Haloarcula marismortui	1
HmCD00331131	Haloarcula marismortui	1
HmCD00331132	Haloarcula marismortui	1
HmCD00331133	Haloarcula marismortui	1
HmCD00331134	Haloarcula marismortui	1
