Accession	Species	Class
MlCD00339018	Mesorhizobium loti	1
MlCD00339019	Mesorhizobium loti	0
MlCD00339020	Mesorhizobium loti	1
MlCD00339021	Mesorhizobium loti	0
MlCD00339022	Mesorhizobium loti	1
MlCD00339023	Mesorhizobium loti	1
MlCD00339024	Mesorhizobium loti	0
MlCD00339025	Mesorhizobium loti	1
MlCD00339026	Mesorhizobium loti	1
MlCD00339027	Mesorhizobium loti	0
MlCD00339028	Mesorhizobium loti	0
EcCD00339029	Pectobacterium carotovorum	0
EcCD00339030	Pectobacterium carotovorum	0
EcCD00339031	Pectobacterium carotovorum	1
EcCD00339032	Pectobacterium carotovorum	1
EcCD00339033	Pectobacterium carotovorum	1
EcCD00339034	Pectobacterium carotovorum	1
EcCD00339035	Pectobacterium carotovorum	0
EcCD00339036	Pectobacterium carotovorum	0
EcCD00339037	Pectobacterium carotovorum	0
EcCD00339038	Pectobacterium carotovorum	1
EcCD00339039	Pectobacterium carotovorum	0
EcCD00339040	Pectobacterium carotovorum	1
EcCD00339041	Pectobacterium carotovorum	1
EfCD00339042	Enterococcus faecalis	0
EfCD00339043	Enterococcus faecalis	0
EfCD00339044	Enterococcus faecalis	1
EcCD00339045	Escherichia coli	0
EcCD00339046	Escherichia coli	1
EcCD00339047	Escherichia coli	1
EcCD00339048	Escherichia coli	1
EcCD00339049	Escherichia coli	0
EcCD00339050	Escherichia coli	1
EcCD00339051	Escherichia coli	1
DhCD00339052	Desulfitobacterium hafniense	0
DhCD00339053	Desulfitobacterium hafniense	1
DhCD00339054	Desulfitobacterium hafniense	1
DhCD00339055	Desulfitobacterium hafniense	1
DhCD00339056	Desulfitobacterium hafniense	0
DhCD00339057	Desulfitobacterium hafniense	1
DhCD00339058	Desulfitobacterium hafniense	0
CpCD00339059	Colwellia psychrerythraea	0
CpCD00339060	Colwellia psychrerythraea	1
NeCD00339061	Nitrosomonas europaea	0
BlCD00339062	Bacillus licheniformis	1
BlCD00339063	Bacillus licheniformis	1
BlCD00339064	Bacillus licheniformis	1
BlCD00339065	Bacillus licheniformis	1
BlCD00339066	Bacillus licheniformis	1
BlCD00339067	Bacillus licheniformis	1
BlCD00339068	Bacillus licheniformis	1
BlCD00339069	Bacillus licheniformis	1
BlCD00339070	Bacillus licheniformis	1
BlCD00339071	Bacillus licheniformis	1
BlCD00339072	Bacillus licheniformis	1
BlCD00339073	Bacillus licheniformis	1
MaCD00339074	Methanococcus aeolicus Nankai-3	0
MvCD00339075	Methanococcus vannielii SB	1
MsCD00339076	Moorella thermoacetica	1
LpCD00339077	Lactobacillus plantarum	1
LpCD00339078	Lactobacillus plantarum	0
LpCD00339079	Lactobacillus plantarum	1
LpCD00339080	Lactobacillus plantarum	1
LpCD00339081	Lactobacillus plantarum	1
LpCD00339082	Lactobacillus plantarum	0
LpCD00339083	Lactobacillus plantarum	1
LpCD00339084	Lactobacillus plantarum	1
LpCD00339085	Lactobacillus plantarum	1
LpCD00339086	Lactobacillus plantarum	1
LpCD00339087	Lactobacillus plantarum	0
LpCD00339088	Lactobacillus plantarum	0
LpCD00339089	Lactobacillus plantarum	1
LpCD00339090	Lactobacillus plantarum	1
LpCD00339091	Lactobacillus plantarum	1
LpCD00339092	Lactobacillus plantarum	1
LmCD00339093	Listeria monocytogenes	1
LmCD00339094	Listeria monocytogenes	1
LmCD00339095	Listeria monocytogenes	1
LmCD00339096	Listeria monocytogenes	1
LmCD00339097	Listeria monocytogenes	1
LmCD00339098	Listeria monocytogenes	1
LmCD00339099	Listeria monocytogenes	1
RvCD00339100	Agrobacterium vitis	0
RvCD00339101	Agrobacterium vitis	1
RvCD00339102	Agrobacterium vitis	1
RvCD00339103	Agrobacterium vitis	1
RvCD00339104	Agrobacterium vitis	1
RvCD00339105	Agrobacterium vitis	1
ReCD00339106	Rhizobium etli	0
ReCD00339107	Rhizobium etli	0
RdCD00339108	Roseobacter denitrificans	0
RdCD00339109	Roseobacter denitrificans	1
RdCD00339110	Roseobacter denitrificans	1
RdCD00339111	Roseobacter denitrificans	1
RdCD00339112	Roseobacter denitrificans	0
RdCD00339113	Roseobacter denitrificans	1
RdCD00339114	Roseobacter denitrificans	0
PsCD00339115	Pseudomonas syringae	0
PsCD00339116	Pseudomonas syringae	1
PsCD00339117	Pseudomonas syringae	1
PsCD00339118	Pseudomonas syringae	1
PsCD00339119	Pseudomonas syringae	1
PsCD00339120	Pseudomonas syringae	0
PsCD00339121	Pseudomonas syringae	0
PsCD00339122	Pseudomonas syringae	0
PsCD00339123	Pseudomonas syringae	1
PsCD00339124	Pseudomonas syringae	0
PsCD00339125	Pseudomonas syringae	0
PpCD00339126	Pseudomonas putida	1
PpCD00339127	Pseudomonas putida	1
SeCD00339136	Synechococcus elongatus	0
SeCD00339137	Synechococcus elongatus	1
SeCD00339138	Synechococcus elongatus	1
SeCD00339139	Synechococcus elongatus	1
SeCD00339140	Synechococcus elongatus	1
SeCD00339141	Synechococcus elongatus	0
SeCD00339142	Synechococcus elongatus	1
SeCD00339143	Synechococcus elongatus	0
SeCD00339144	Synechococcus elongatus	1
SeCD00339145	Synechococcus elongatus	1
SeCD00339146	Synechococcus elongatus	1
SeCD00339147	Synechococcus elongatus	0
SeCD00339148	Synechococcus elongatus	1
SeCD00339149	Synechococcus elongatus	1
SeCD00339150	Synechococcus elongatus	0
SeCD00339151	Synechococcus elongatus	0
SeCD00339152	Synechococcus elongatus	1
SeCD00339153	Synechococcus elongatus	1
SeCD00339154	Synechococcus elongatus	1
SeCD00339155	Synechococcus elongatus	1
SmCD00339156	Streptococcus mutans	1
SmCD00339157	Streptococcus mutans	1
SmCD00339158	Streptococcus mutans	1
SmCD00339159	Streptococcus mutans	1
SmCD00339160	Streptococcus mutans	1
SmCD00339161	Streptococcus mutans	1
SmCD00339162	Streptococcus mutans	1
SmCD00339163	Streptococcus mutans	1
SmCD00339164	Streptococcus mutans	1
SmCD00339165	Streptococcus mutans	1
SmCD00339166	Streptococcus mutans	1
SmCD00339167	Streptococcus mutans	1
SeCD00339168	Salmonella enterica	1
SeCD00339169	Salmonella enterica	1
SeCD00339170	Salmonella enterica	1
SeCD00339171	Salmonella enterica	1
SeCD00339172	Salmonella enterica	1
SeCD00339173	Salmonella enterica	1
SeCD00339174	Salmonella enterica	1
SeCD00339175	Salmonella enterica	1
SeCD00339176	Salmonella enterica	1
SeCD00339177	Salmonella enterica	1
ShCD00339178	Staphylococcus haemolyticus	0
ShCD00339179	Staphylococcus haemolyticus	1
ShCD00339180	Staphylococcus haemolyticus	1
ShCD00339181	Staphylococcus haemolyticus	1
ShCD00339182	Staphylococcus haemolyticus	1
SsCD00339183	Synechocystis sp. PCC 6803	1
SsCD00339184	Synechocystis sp. PCC 6803	1
SsCD00339185	Synechocystis sp. PCC 6803	1
SsCD00339186	Synechocystis sp. PCC 6803	1
SsCD00339187	Synechocystis sp. PCC 6803	1
SsCD00339188	Synechocystis sp. PCC 6803	1
SsCD00339189	Synechocystis sp. PCC 6803	1
SsCD00339190	Synechocystis sp. PCC 6803	1
SsCD00339191	Synechocystis sp. PCC 6803	1
SsCD00339192	Synechocystis sp. PCC 6803	1
SsCD00339193	Synechocystis sp. PCC 6803	1
SsCD00339194	Synechocystis sp. PCC 6803	1
SsCD00339195	Synechocystis sp. PCC 6803	1
SsCD00339196	Synechocystis sp. PCC 6803	1
SsCD00339197	Synechocystis sp. PCC 6803	1
SsCD00339198	Synechocystis sp. PCC 6803	1
SsCD00339199	Synechocystis sp. PCC 6803	1
SsCD00339200	Synechocystis sp. PCC 6803	1
SsCD00339201	Synechocystis sp. PCC 6803	1
SsCD00339202	Synechocystis sp. PCC 6803	0
SsCD00339203	Synechocystis sp. PCC 6803	0
SsCD00339204	Synechocystis sp. PCC 6803	1
SsCD00339205	Synechocystis sp. PCC 6803	1
SsCD00339206	Synechocystis sp. PCC 6803	1
SsCD00339207	Synechocystis sp. PCC 6803	1
SsCD00339208	Synechocystis sp. PCC 6803	1
SsCD00339209	Synechocystis sp. PCC 6803	1
SsCD00339210	Synechocystis sp. PCC 6803	0
SsCD00339211	Synechocystis sp. PCC 6803	1
MbCD00339212	Mycobacterium bovis	0
MbCD00339213	Mycobacterium bovis	0
HsCD00339214	Halobacterium sp. NRC-1	0
HsCD00339215	Halobacterium sp. NRC-1	1
HsCD00339216	Halobacterium sp. NRC-1	1
DrCD00339217	Deinococcus radiodurans	0
DrCD00339218	Deinococcus radiodurans	0
DrCD00339219	Deinococcus radiodurans	0
DrCD00339220	Deinococcus radiodurans	1
DrCD00339221	Deinococcus radiodurans	0
DrCD00339222	Deinococcus radiodurans	0
DrCD00339223	Deinococcus radiodurans	1
DrCD00339224	Deinococcus radiodurans	1
DrCD00339225	Deinococcus radiodurans	1
DrCD00339226	Deinococcus radiodurans	1
DrCD00339227	Deinococcus radiodurans	1
DrCD00339228	Deinococcus radiodurans	0
DrCD00339229	Deinococcus radiodurans	1
DrCD00339230	Deinococcus radiodurans	1
DrCD00339231	Deinococcus radiodurans	0
DrCD00339232	Deinococcus radiodurans	1
DrCD00339233	Deinococcus radiodurans	0
DrCD00339234	Deinococcus radiodurans	1
DrCD00339235	Deinococcus radiodurans	1
DrCD00339236	Deinococcus radiodurans	1
DrCD00339237	Deinococcus radiodurans	1
DrCD00339238	Deinococcus radiodurans	1
DrCD00339239	Deinococcus radiodurans	1
DrCD00339240	Deinococcus radiodurans	1
DrCD00339241	Deinococcus radiodurans	0
DrCD00339242	Deinococcus radiodurans	0
DrCD00339243	Deinococcus radiodurans	0
DrCD00339244	Deinococcus radiodurans	1
CvCD00339245	Chromobacterium violaceum	1
CvCD00339246	Chromobacterium violaceum	1
CvCD00339247	Chromobacterium violaceum	0
CvCD00339248	Chromobacterium violaceum	0
LpCD00339249	Lactobacillus plantarum	1
LpCD00339250	Lactobacillus plantarum	1
LpCD00339251	Lactobacillus plantarum	1
LpCD00339252	Lactobacillus plantarum	1
LpCD00339253	Lactobacillus plantarum	1
LpCD00339254	Lactobacillus plantarum	1
LpCD00339255	Lactobacillus plantarum	0
LpCD00339256	Lactobacillus plantarum	1
LmCD00339257	Listeria monocytogenes	1
LmCD00339258	Listeria monocytogenes	1
LmCD00339259	Listeria monocytogenes	1
LmCD00339260	Listeria monocytogenes	1
LiCD00339261	Listeria innocua	1
LiCD00339262	Listeria innocua	1
LiCD00339263	Listeria innocua	1
LiCD00339264	Listeria innocua	1
LiCD00339265	Listeria innocua	1
LiCD00339266	Listeria innocua	1
LiCD00339267	Listeria innocua	1
LiCD00339268	Listeria innocua	1
LiCD00339269	Listeria innocua	1
LiCD00339270	Listeria innocua	1
LiCD00339271	Listeria innocua	1
LiCD00339272	Listeria innocua	1
LiCD00339273	Listeria innocua	1
LiCD00339274	Listeria innocua	1
LiCD00339275	Listeria innocua	1
LiCD00339276	Listeria innocua	1
LiCD00339277	Listeria innocua	1
LiCD00339278	Listeria innocua	1
LiCD00339279	Listeria innocua	1
LiCD00339280	Listeria innocua	1
LiCD00339281	Listeria innocua	1
LiCD00339282	Listeria innocua	1
LiCD00339283	Listeria innocua	1
LiCD00339284	Listeria innocua	1
LiCD00339285	Listeria innocua	1
LiCD00339286	Listeria innocua	1
LiCD00339287	Listeria innocua	1
LiCD00339288	Listeria innocua	1
LpCD00339289	Legionella pneumophila	0
LpCD00339290	Legionella pneumophila	0
LiCD00339291	Listeria innocua	1
LpCD00339292	Legionella pneumophila	0
LpCD00339293	Legionella pneumophila	0
LpCD00339294	Legionella pneumophila	0
LpCD00339295	Legionella pneumophila	0
LpCD00339296	Legionella pneumophila	0
LpCD00339297	Legionella pneumophila	1
LcCD00339298	Lactobacillus casei	1
LcCD00339299	Lactobacillus casei	1
LcCD00339300	Lactobacillus casei	1
LcCD00339301	Lactobacillus casei	1
LcCD00339302	Lactobacillus casei	1
LcCD00339303	Lactobacillus casei	1
LcCD00339304	Lactobacillus casei	1
LcCD00339305	Lactobacillus casei	1
LcCD00339306	Lactobacillus casei	1
LcCD00339307	Lactobacillus casei	0
LcCD00339308	Lactobacillus casei	1
LcCD00339309	Lactobacillus casei	1
LcCD00339310	Lactobacillus casei	1
LcCD00339311	Lactobacillus casei	1
CdCD00339312	Corynebacterium diphtheriae	1
CdCD00339313	Corynebacterium diphtheriae	1
CdCD00339314	Corynebacterium diphtheriae	1
CdCD00339315	Corynebacterium diphtheriae	1
CdCD00339316	Corynebacterium diphtheriae	1
CdCD00339317	Corynebacterium diphtheriae	1
CdCD00339318	Corynebacterium diphtheriae	1
CdCD00339319	Corynebacterium diphtheriae	1
CdCD00339320	Corynebacterium diphtheriae	1
CdCD00339321	Corynebacterium diphtheriae	1
CdCD00339322	Corynebacterium diphtheriae	1
CdCD00339323	Corynebacterium diphtheriae	1
CdCD00339324	Corynebacterium diphtheriae	1
CdCD00339325	Corynebacterium diphtheriae	1
CdCD00339326	Corynebacterium diphtheriae	1
CdCD00339327	Corynebacterium diphtheriae	1
CaCD00339328	Clostridium acetobutylicum	1
CaCD00339329	Clostridium acetobutylicum	0
CaCD00339330	Clostridium acetobutylicum	0
CaCD00339331	Clostridium acetobutylicum	1
CaCD00339332	Clostridium acetobutylicum	0
CaCD00339333	Clostridium acetobutylicum	1
CaCD00339334	Clostridium acetobutylicum	1
CaCD00339335	Clostridium acetobutylicum	1
StCD00339336	Salmonella enterica subsp. enterica serovar Typhimurium	0
StCD00339337	Salmonella enterica subsp. enterica serovar Typhimurium	0
SoCD00339338	Shewanella oneidensis	1
SoCD00339339	Shewanella oneidensis	1
SoCD00339340	Shewanella oneidensis	1
VpCD00339341	Vibrio parahaemolyticus	1
NsCD00339342	Nostoc sp. PCC 7120	1
BsCD00339343	Bacillus subtilis	1
BsCD00339344	Bacillus subtilis	1
SsCD00339345	Staphylococcus saprophyticus	1
SsCD00339346	Synechocystis sp. PCC 6803	1
SsCD00339347	Synechocystis sp. PCC 6803	1
SsCD00339348	Synechocystis sp. PCC 6803	0
SsCD00339349	Synechocystis sp. PCC 6803	0
SsCD00339350	Synechocystis sp. PCC 6803	0
SsCD00339351	Synechocystis sp. PCC 6803	0
SsCD00339352	Synechocystis sp. PCC 6803	0
SsCD00339353	Synechocystis sp. PCC 6803	1
SsCD00339354	Synechocystis sp. PCC 6803	1
SsCD00339355	Synechocystis sp. PCC 6803	0
PpCD00339356	Pediococcus pentosaceus	1
PpCD00339357	Pediococcus pentosaceus	1
PpCD00339358	Pediococcus pentosaceus	1
PpCD00339359	Pediococcus pentosaceus	1
PpCD00339360	Pediococcus pentosaceus	1
PpCD00339361	Pediococcus pentosaceus	1
PpCD00339362	Pediococcus pentosaceus	1
PpCD00339363	Pediococcus pentosaceus	0
PpCD00339364	Pediococcus pentosaceus	1
PgCD00339365	Porphyromonas gingivalis	1
PgCD00339366	Porphyromonas gingivalis	1
PgCD00339367	Porphyromonas gingivalis	0
NsCD00339368	Nostoc sp. PCC 7120	0
NsCD00339369	Nostoc sp. PCC 7120	1
NsCD00339370	Nostoc sp. PCC 7120	0
NsCD00339371	Nostoc sp. PCC 7120	0
NsCD00339372	Nostoc sp. PCC 7120	0
NsCD00339373	Nostoc sp. PCC 7120	0
NsCD00339374	Nostoc sp. PCC 7120	1
NsCD00339375	Nostoc sp. PCC 7120	0
NsCD00339376	Nostoc sp. PCC 7120	1
NsCD00339377	Nostoc sp. PCC 7120	1
NsCD00339378	Nostoc sp. PCC 7120	1
NsCD00339379	Nostoc sp. PCC 7120	1
NsCD00339380	Nostoc sp. PCC 7120	1
NsCD00339381	Nostoc sp. PCC 7120	1
NsCD00339382	Nostoc sp. PCC 7120	1
NsCD00339383	Nostoc sp. PCC 7120	1
NsCD00339384	Nostoc sp. PCC 7120	1
NsCD00339385	Nostoc sp. PCC 7120	1
NsCD00339386	Nostoc sp. PCC 7120	0
NsCD00339387	Nostoc sp. PCC 7120	1
MaCD00339388	Methanosarcina acetivorans	1
MaCD00339389	Methanosarcina acetivorans	1
MaCD00339390	Methanosarcina acetivorans	1
MaCD00339391	Methanosarcina acetivorans	1
MaCD00339392	Methanosarcina acetivorans	1
MaCD00339393	Methanosarcina acetivorans	1
MaCD00339394	Methanosarcina acetivorans	0
MaCD00339395	Methanosarcina acetivorans	1
MmCD00339396	Methanosarcina mazei	1
MmCD00339397	Methanosarcina mazei	1
LpCD00339398	Lactobacillus plantarum	1
LpCD00339399	Lactobacillus plantarum	1
LpCD00339400	Lactobacillus plantarum	1
LiCD00339401	Listeria innocua	1
LiCD00339402	Listeria innocua	1
LpCD00339403	Legionella pneumophila	1
LpCD00339404	Legionella pneumophila	1
LpCD00339405	Legionella pneumophila	1
LpCD00339406	Legionella pneumophila	1
LlCD00339407	Lactococcus lactis	1
LlCD00339408	Lactococcus lactis	0
LlCD00339409	Lactococcus lactis	1
LlCD00339410	Lactococcus lactis	0
HiCD00339411	Haemophilus influenzae	1
GtCD00339412	Geobacillus thermodenitrificans	0
GtCD00339413	Geobacillus thermodenitrificans	0
GtCD00339414	Geobacillus thermodenitrificans	1
AsCD00339415	Archaeoglobus fulgidus	1
AsCD00339416	Archaeoglobus fulgidus	1
RpCD00339417	Rhodopseudomonas palustris	1
RpCD00339418	Rhodopseudomonas palustris	1
RpCD00339419	Rhodopseudomonas palustris	1
RpCD00339420	Rhodopseudomonas palustris	1
RpCD00339421	Rhodopseudomonas palustris	0
RpCD00339422	Rhodopseudomonas palustris	1
RpCD00339423	Rhodopseudomonas palustris	1
RpCD00339424	Rhodopseudomonas palustris	0
RpCD00339425	Rhodopseudomonas palustris	1
RpCD00339426	Rhodopseudomonas palustris	1
RpCD00339427	Rhodopseudomonas palustris	1
RpCD00339428	Rhodopseudomonas palustris	1
RpCD00339429	Rhodopseudomonas palustris	1
PfCD00339430	Pseudomonas fluorescens	1
PfCD00339431	Pseudomonas fluorescens	1
PfCD00339432	Pseudomonas fluorescens	1
PfCD00339433	Pseudomonas fluorescens	1
PfCD00339434	Pseudomonas fluorescens	1
PaCD00339435	Pseudomonas aeruginosa	1
PaCD00339436	Pseudomonas aeruginosa	0
PaCD00339437	Pseudomonas aeruginosa	1
PaCD00339438	Pseudomonas aeruginosa	0
PaCD00339439	Pseudomonas aeruginosa	0
NaCD00339440	Novosphingobium aromaticivorans	0
NaCD00339441	Novosphingobium aromaticivorans	0
NaCD00339442	Novosphingobium aromaticivorans	0
NaCD00339443	Novosphingobium aromaticivorans	0
NaCD00339444	Novosphingobium aromaticivorans	1
NaCD00339445	Novosphingobium aromaticivorans	1
NaCD00339446	Novosphingobium aromaticivorans	0
NaCD00339447	Novosphingobium aromaticivorans	1
NaCD00339448	Novosphingobium aromaticivorans	0
NaCD00339449	Novosphingobium aromaticivorans	1
NaCD00339450	Novosphingobium aromaticivorans	1
NaCD00339451	Novosphingobium aromaticivorans	0
NaCD00339452	Novosphingobium aromaticivorans	1
MsCD00339453	Mycobacterium smegmatis	0
MsCD00339454	Mycobacterium smegmatis	0
MsCD00339455	Mycobacterium smegmatis	0
MsCD00339456	Mycobacterium smegmatis	1
MsCD00339457	Mycobacterium smegmatis	0
MsCD00339458	Mycobacterium smegmatis	0
MsCD00339459	Mycobacterium smegmatis	0
MsCD00339460	Mycobacterium smegmatis	1
MsCD00339461	Mycobacterium smegmatis	1
MsCD00339462	Mycobacterium smegmatis	0
BhCD00339505	Bacillus halodurans	0
BhCD00339506	Bacillus halodurans	1
BhCD00339507	Bacillus halodurans	1
BhCD00339508	Bacillus halodurans	1
BhCD00339509	Bacillus halodurans	1
BhCD00339510	Bacillus halodurans	1
BhCD00339511	Bacillus halodurans	1
BcCD00339512	Bacillus cereus	1
BcCD00339513	Bacillus cereus	1
BcCD00339514	Bacillus cereus	1
BcCD00339515	Bacillus cereus	1
BcCD00339516	Bacillus cereus	1
BcCD00339517	Bacillus cereus	1
BcCD00339518	Bacillus cereus	1
BcCD00339519	Bacillus cereus	1
BcCD00339520	Bacillus cereus	1
CjCD00339521	Campylobacter jejuni	1
CjCD00339522	Campylobacter jejuni	1
CjCD00339523	Campylobacter jejuni	1
CjCD00339524	Campylobacter jejuni	1
CjCD00339525	Campylobacter jejuni	1
NsCD00339526	Nostoc sp. PCC 7120	1
MmCD00339527	Methanosarcina mazei	1
MmCD00339528	Methanosarcina mazei	1
MmCD00339529	Methanosarcina mazei	1
MmCD00339530	Methanosarcina mazei	1
BtCD00339531	Bacteroides thetaiotaomicron	1
BtCD00339532	Bacteroides thetaiotaomicron	1
BtCD00339533	Bacteroides thetaiotaomicron	1
BtCD00339534	Bacteroides thetaiotaomicron	0
BtCD00339535	Bacteroides thetaiotaomicron	0
BtCD00339536	Bacteroides thetaiotaomicron	1
BtCD00339537	Bacteroides thetaiotaomicron	1
BtCD00339538	Bacteroides thetaiotaomicron	1
BtCD00339539	Bacteroides thetaiotaomicron	1
BtCD00339540	Bacteroides thetaiotaomicron	1
BfCD00339541	Bacteroides fragilis	1
BcCD00339542	Bacillus cereus	0
BcCD00339543	Bacillus cereus	1
BbCD00339544	Borrelia burgdorferi	1
BbCD00339545	Borrelia burgdorferi	1
CdCD00339546	Corynebacterium diphtheriae	1
CdCD00339547	Corynebacterium diphtheriae	1
CaCD00339548	Clostridium acetobutylicum	0
CaCD00339549	Clostridium acetobutylicum	0
CaCD00339550	Clostridium acetobutylicum	0
CaCD00339551	Clostridium acetobutylicum	0
CaCD00339552	Clostridium acetobutylicum	0
BtCD00339553	Bacteroides thetaiotaomicron	1
BtCD00339554	Bacteroides thetaiotaomicron	1
BtCD00339555	Bacteroides thetaiotaomicron	1
BtCD00339556	Bacteroides thetaiotaomicron	1
BtCD00339557	Bacteroides thetaiotaomicron	1
BtCD00339558	Bacteroides thetaiotaomicron	1
BtCD00339559	Bacteroides thetaiotaomicron	1
BtCD00339560	Bacteroides thetaiotaomicron	1
BhCD00339561	Bacillus halodurans	1
BhCD00339562	Bacillus halodurans	1
SaCD00339563	Streptomyces avermitilis	1
SaCD00339564	Streptomyces avermitilis	1
SaCD00339565	Streptomyces avermitilis	1
SaCD00339566	Streptomyces avermitilis	1
SrCD00339567	Salinibacter ruber DSM 13855	1
SrCD00339568	Salinibacter ruber DSM 13855	0
SrCD00339569	Salinibacter ruber DSM 13855	0
SrCD00339570	Salinibacter ruber DSM 13855	1
SrCD00339571	Salinibacter ruber DSM 13855	1
SrCD00339572	Salinibacter ruber DSM 13855	1
SrCD00339573	Salinibacter ruber DSM 13855	1
SrCD00339574	Salinibacter ruber DSM 13855	1
SrCD00339575	Salinibacter ruber DSM 13855	0
SrCD00339576	Salinibacter ruber DSM 13855	1
SrCD00339577	Salinibacter ruber DSM 13855	1
SrCD00339578	Salinibacter ruber DSM 13855	0
SrCD00339579	Salinibacter ruber DSM 13855	0
SrCD00339580	Salinibacter ruber DSM 13855	1
SrCD00339581	Salinibacter ruber DSM 13855	0
RrCD00339582	Rhodospirillum rubrum	0
RrCD00339583	Rhodospirillum rubrum	0
RrCD00339584	Rhodospirillum rubrum	0
RrCD00339585	Rhodospirillum rubrum	1
RrCD00339586	Rhodospirillum rubrum	0
RrCD00339587	Rhodospirillum rubrum	1
RrCD00339588	Rhodospirillum rubrum	1
RrCD00339589	Rhodospirillum rubrum	1
RrCD00339590	Rhodospirillum rubrum	1
RpCD00339591	Rhodopseudomonas palustris	1
RpCD00339592	Rhodopseudomonas palustris	1
RpCD00339593	Rhodopseudomonas palustris	0
RpCD00339594	Rhodopseudomonas palustris	1
RpCD00339595	Rhodopseudomonas palustris	1
PfCD00339596	Pseudomonas fluorescens	0
PfCD00339597	Pseudomonas fluorescens	0
PfCD00339598	Pseudomonas fluorescens	0
PfCD00339599	Pseudomonas fluorescens	0
PfCD00339600	Pseudomonas fluorescens	0
PfCD00339601	Pseudomonas fluorescens	1
PfCD00339602	Pseudomonas fluorescens	0
PfCD00339603	Pseudomonas fluorescens	1
PfCD00339604	Pseudomonas fluorescens	0
PfCD00339605	Pseudomonas fluorescens	0
PfCD00339606	Pseudomonas fluorescens	1
PfCD00339607	Pseudomonas fluorescens	0
PfCD00339608	Pseudomonas fluorescens	1
PfCD00339609	Pseudomonas fluorescens	1
PfCD00339610	Pseudomonas fluorescens	1
PfCD00339611	Pseudomonas fluorescens	0
CsCD00339612	Caldicellulosiruptor saccharolyticus	1
YsCD00339613	Yersinia pseudotuberculosis	1
SsCD00339614	Synechocystis sp. PCC 6803	1
AsCD00339615	Archaeoglobus fulgidus	1
EcCD00339616	Pectobacterium carotovorum	1
EcCD00339617	Pectobacterium carotovorum	1
EcCD00339618	Pectobacterium carotovorum	0
EcCD00339619	Pectobacterium carotovorum	0
EcCD00339620	Pectobacterium carotovorum	1
EcCD00339621	Pectobacterium carotovorum	1
EcCD00339622	Escherichia coli	1
EcCD00339623	Escherichia coli	1
DhCD00339624	Desulfitobacterium hafniense	1
DhCD00339625	Desulfitobacterium hafniense	0
DhCD00339626	Desulfitobacterium hafniense	1
DhCD00339627	Desulfitobacterium hafniense	1
DhCD00339628	Desulfitobacterium hafniense	0
DhCD00339629	Desulfitobacterium hafniense	1
DhCD00339630	Desulfitobacterium hafniense	1
DhCD00339631	Desulfitobacterium hafniense	1
DhCD00339632	Desulfitobacterium hafniense	0
DhCD00339633	Desulfitobacterium hafniense	1
DhCD00339634	Desulfitobacterium hafniense	0
DhCD00339635	Desulfitobacterium hafniense	1
CpCD00339636	Colwellia psychrerythraea	0
CpCD00339637	Colwellia psychrerythraea	1
CpCD00339638	Colwellia psychrerythraea	0
CpCD00339639	Colwellia psychrerythraea	1
CpCD00339640	Colwellia psychrerythraea	0
CpCD00339641	Colwellia psychrerythraea	0
CpCD00339642	Colwellia psychrerythraea	0
CpCD00339643	Colwellia psychrerythraea	1
CpCD00339644	Colwellia psychrerythraea	0
NsCD00339670	Nostoc sp. PCC 7120	1
NsCD00339671	Nostoc sp. PCC 7120	1
NsCD00339672	Nostoc sp. PCC 7120	0
FnCD00339673	Fusobacterium nucleatum	1
FnCD00339674	Fusobacterium nucleatum	1
FnCD00339675	Fusobacterium nucleatum	0
FnCD00339676	Fusobacterium nucleatum	1
FnCD00339677	Fusobacterium nucleatum	0
FnCD00339678	Fusobacterium nucleatum	1
FnCD00339679	Fusobacterium nucleatum	1
FnCD00339680	Fusobacterium nucleatum	1
FnCD00339681	Fusobacterium nucleatum	0
FnCD00339682	Fusobacterium nucleatum	1
FnCD00339683	Fusobacterium nucleatum	0
FnCD00339684	Fusobacterium nucleatum	1
FnCD00339685	Fusobacterium nucleatum	1
FnCD00339686	Fusobacterium nucleatum	1
RpCD00339687	Rhodopseudomonas palustris	0
RpCD00339689	Rhodopseudomonas palustris	0
ReCD00339690	Rhizobium etli	1
MmCD00339691	Methanosarcina mazei	1
MmCD00339692	Methanosarcina mazei	1
PmCD00339693	Pyrococcus horikoshii	0
PmCD00339694	Pyrococcus horikoshii	1
EcCD00339695	Pectobacterium carotovorum	1
EfCD00339696	Enterococcus faecalis	1
EcCD00339697	Escherichia coli	1
BtCD00339698	Bacteroides thetaiotaomicron	1
BhCD00339699	Bacillus halodurans	1
BcCD00339700	Bacillus cereus	1
VpCD00339701	Vibrio parahaemolyticus	1
VfCD00339702	Aliivibrio fischeri	1
VfCD00339703	Aliivibrio fischeri	1
VcCD00339704	Vibrio cholerae	1
VcCD00339705	Vibrio cholerae	1
TvCD00339706	Thermoplasma volcanium	1
TvCD00339707	Thermoplasma volcanium	1
TvCD00339708	Thermoplasma volcanium	0
TvCD00339709	Thermoplasma volcanium	0
TvCD00339710	Thermoplasma volcanium	0
TaCD00339711	Thermoplasma acidophilum	0
MtCD00339712	Methanothermobacter thermautotrophicus	1
MtCD00339713	Methanothermobacter thermautotrophicus	0
SsCD00339714	Staphylococcus saprophyticus	1
StCD00339715	Streptococcus thermophilus	1
